Acapulco,Chilpancingo,129,3970,7565,4039,7466
Acayucan,Tehuantepec,201,4822,7370,4785,7629
Acayucan,Tuxtla_Gutierrez,275,4822,7370,5156,7523
Acayucan,Villa_Hermosa,236,4822,7370,5254,7254
Agua_Prieta,Santa_Ana,236,2160,4387,1838,4499
Aguascalientes,Guadalajara,250,3410,6528,3236,6794
Aguascalientes,Guanajuato,82,3410,6528,3633,6765
Alvarado,Acayucan,248,4686,7219,4822,7370
Alvarado,Oaxaca,339,4686,7219,4483,7539
Atlacomulco,Queretaro,120,3938,6934,3868,6765
Campeche,Ciudad_del_Carmen,225,5684,6810,5527,7018
Cancun,Valladolid,161,6238,6512,6023,6538
Chetumal,Campeche,350,6066,6979,5684,6810
Chetumal,Felipe_Carrillo_Puerto,153,6066,6979,6122,6726
Chetumal,Merida,301,6066,6979,5811,6550
Chihuahua,Janos,320,2717,4947,2378,4451
Chihuahua,Juarez,354,2717,4947,2668,4320
Chilpancingo,Iguala,100,4039,7466,4016,7312
Ciudad_Altamirano,Cuernavaca,102,3807,7251,4060,7168
Ciudad_Altamirano,Toluca,180,3807,7251,3964,7062
Ciudad_Altamirano,Zihuatanejo,183,3807,7251,3683,7456
Ciudad_del_Carmen,Villa_Hermosa,168,5527,7018,5254,7254
Ciudad_Obregon,Guaymas,80,2038,5174,1902,5059
Ciudad_Victoria,Matamoros,269,4097,6134,4206,5555
Ciudad_Victoria,Soto_la_Marina,121,4097,6134,4210,6131
Ciudad_Victoria,Tampico,243,4097,6134,4208,6394
Colima,Morelia,315,3161,7101,3668,7030
Colima,Playa_Azul,250,3161,7101,3488,7309
Cordoba,Veracruz,70,4518,7139,4576,7072
Culiacan,Hidalgo_del_Parral,500,2523,5878,2659,5274
Culiacan,Topolobampo,206,2523,5878,2233,5520
Durango,Mazatlan,283,3010,6064,2795,6323
Durango,Torreon,229,3010,6064,3262,5674
Ensenada,San_Quintin,190,957,4182,1061,4474
Felipe_Carrillo_Puerto,Cancun,226,6122,6726,6238,6512
Felipe_Carrillo_Puerto,Valladolid,160,6122,6726,6023,6538
Francisco_Escarcega,Chetumal,273,5646,7059,6066,6979
Guadalajara,Colima,401,3236,6794,3161,7101
Guadalajara,Manzanillo,278,3236,6794,3045,7078
Guadalajara,Salamanca,260,3236,6794,3625,6883
Guadalajara,Tepic,227,3236,6794,2929,6582
Guanajuato,Salamanca,45,3633,6765,3625,6883
Guaymas,Hermosillo,142,1902,5059,1859,4899
Hermosillo,Santa_Ana,277,1859,4899,1838,4499
Hidalgo_del_Parral,Chihuahua,187,2659,5274,2717,4947
Hidalgo_del_Parral,Durango,411,2659,5274,3010,6064
Hidalgo_del_Parral,Topolobampo,380,2659,5274,2233,5520
Huizache,Ciudad_Victoria,238,3810,6298,4097,6134
Huizache,San_Luis_Potosi,108,3810,6298,3987,6419
Iguala,Ciudad_Altamirano,82,4016,7312,3807,7251
Iguala,Cuernavaca,122,4016,7312,4060,7168
Izucar_de_Matamoros,Cuernavaca,121,4257,7299,4060,7168
Jalapa,Tlaxcala,189,4442,6973,4216,7024
Janos,Agua_Prieta,111,2378,4451,2160,4387
Juarez,Janos,161,2668,4320,2378,4451
La_Paz,Cabo_San_Lucas,163,1911,5965,1986,6157
Manzanillo,Colima,80,3045,7078,3161,7101
Manzanillo,Playa_Azul,275,3045,7078,3488,7309
Matamoros,Reynosa,98,4206,5555,4106,5536
Matamoros,Brownsville,1,4206,5555,4206,5550
Mazatlan,Culiacan,226,2795,6323,2523,5878
Mazatlan,Tepic,278,2795,6323,2926,6586
Merida,Campeche,192,5811,6550,5684,6810
Mexicalli,San_Felipe,204,1325,4040,1177,4378
Mexicalli,Tijuana,189,1325,4040,919,4000
Mexico,Cuernavaca,76,4057,7037,4060,7168
Mexico,Pachuca,88,4057,7037,4100,6810
Mexico,Puebla,133,4057,7037,4242,7152
Mexico,Queretaro,215,4057,7037,3868,6765
Mexico,Tlaxcala,156,4057,7037,4216,7024
Mexico,Toluca,66,4057,7037,3964,7062
Monclova,Torreon,332,3564,5395,3262,5674
Monterrey,Ciudad_Victoria,276,3790,5578,4097,6134
Monterrey,Monclova,194,3790,5578,3564,5395
Monterrey,Nuevo_Laredo,230,3790,5578,3851,5222
Morelia,Playa_Azul,369,3668,7030,3488,7309
Morelia,Salamanca,111,3668,7030,3625,6883
Nogales,Nogales_AZ,1,1912,4380,1912,4377
Nogales,Santa_Ana,147,1912,4380,1838,4499
Nuevo_Laredo,Piedras_Negras,164,3851,5222,3686,4966
Oaxaca,Izucar_de_Matamoros,121,4483,7539,4257,7299
Oaxaca,Puerto_Angel,170,4483,7539,4561,7754
Oaxaca,Tehuacan,140,4483,7539,4376,7283
Pachuca,Tuxpan,261,4100,6810,4283,6614
Pinotepa_Nacional,Acapulco,259,4309,7693,3970,7565
Playa_Azul,Zihuatanejo,122,3488,7309,3683,7456
Puebla,Cordoba,188,4242,7152,4518,7139
Puebla,Izucar_de_Matamoros,115,4242,7152,4257,7299
Puerto_Angel,Pinotepa_Nacional,387,4561,7754,4309,7693
Puerto_Vallarta,Manzanillo,267,2839,6784,3045,7078
Reynosa,Nuevo_Laredo,237,4106,5536,3851,5222
Salamanca,Queretaro,87,3625,6883,3868,6765
Saltillo,Huizache,344,3607,5638,3810,6298
Saltillo,Monclova,203,3607,5638,3564,5395
Saltillo,Monterrey,86,3607,5638,3790,5578
San_Felipe,Ensenada,251,1177,4378,957,4182
San_Luis_Potosi,Aguascalientes,188,3987,6419,3410,6528
San_Luis_Potosi,Queretaro,205,3987,6419,3868,6765
San_Luis_Potosi,Zacatecas,128,3987,6419,3401,6301
San_Quintin,Santa_Rosalia,605,1061,4474,1592,5213
Santa_Ana,Sonoita,362,1838,4499,1479,4176
Santa_Rosalia,Santo_Domingo,317,1592,5213,1661,5664
Santo_Domingo,La_Paz,236,1661,5664,1911,5965
Tampico,Queretaro,380,4208,6394,3865,6758
Tampico,San_Luis_Potosi,254,4208,6394,3987,6419
Tapachula,Thehuantepec,418,5330,7830,5156,7523
Tehuacan,Cordoba,120,4376,7283,4518,7139
Tehuacan,Puebla,90,4376,7283,4242,7152
Tehuantepec,Oaxaca,264,4785,7629,4483,7539
Tehuantepec,Puerto_Angel,194,4785,7629,4561,7754
Tehuantepec,Tuxtla_Gutierrez,275,4785,7629,5156,7523
Tepic,Puerto_Vallarta,169,2926,6586,2839,6784
Toluca,Atlacomulco,67,3964,7062,3938,6934
Toluca,Morelia,243,3964,7062,3668,7030
Topolobampo,Ciudad_Obregon,201,2233,5520,2038,5174
Torreon,Chihuahua,460,3262,5674,2717,4947
Torreon,Saltillo,277,3262,5674,3607,5638
Tuxpan,Tampico,193,4283,6614,4208,6394
Tuxpan,Veracruz,313,4283,6614,4576,7072
Tuxtla_Gutierrez,Villa_Hermosa,395,5156,7523,5254,7254
Veracruz,Alvarado,150,4576,7072,4686,7219
Veracruz,Jalapa,119,4576,7072,4442,6973
Victoria,Corpus_Christi,93,4270,4956,4193,5160
Victoria,Laredo_TX,187,4270,4956,3850,5231
Villa_Hermosa,Francisco_Escarcega,304,5254,7254,5646,7059
Zacatecas,Aguascalientes,128,3401,6301,3410,6528
Zacatecas,Durango,289,3401,6301,3010,6064
Zacatecas,Guadalajara,318,3401,6301,3236,6794
Zacatecas,Saltillo,363,3401,6301,3607,5638
Zacatecas,Torreon,376,3401,6301,3262,5674
Zihuatanejo,Acapulco,239,3683,7456,3970,7565
